NORAD_CAT_ID,SATNAME,PER_ALT,APO_ALT,LAT,LON,TLE_LINE1,TLE_LINE2,SATNAME_CLEAN,SAT_GROUP,Inc
33,THOR ABLESTAR DEB,285.2,616.8,25.10401638,177.7871943,1 00033U 60003  C 60280.33271408  .00001932 +00000-0 +00000-0 0  9994,2 00033 051.2879 136.0668 0242757 196.7800 163.6100 15.38343354027003,THOR ABLESTAR DEB,THOR,51.3
37,SPUTNIK 4 DEB,282.5,552.1,61.79824828,-152.9014617,1 00037U 60005  D 61074.65882873  .00039007 +00000-0 +00000-0 0  9995,2 00037 064.8899 343.2411 0198403 333.4201 027.0840 15.49800338046906,SPUTNIK 4 DEB,SPUTNIK,64.9
38,SPUTNIK 4 DEB,282.5,328.2,0.979135114,-146.2526855,1 00038U 60005  E 60232.69066809  .00610805 +00000-0 +00000-0 0  9999,2 00038 064.8899 302.1218 0034213 049.4823 310.6691 15.88909013015003,SPUTNIK 4 DEB,SPUTNIK,64.9
39,SPUTNIK 4 DEB,283.2,363.5,62.80140823,175.6285176,1 00039U 60005  F 60226.37184334  .00591427 +00000-0 +00000-0 0  9990,2 00039 064.8899 324.0258 0059941 055.6628 304.6251 15.82510302014005,SPUTNIK 4 DEB,SPUTNIK,64.9
40,SPUTNIK 4 DEB,282.4,475.4,38.47143644,-3.045420801,1 00040U 60005  G 60196.98540115  .00376529 +00000-0 +00000-0 0  9992,2 00040 064.8899 065.1154 0142796 067.5265 293.2405 15.63031690009404,SPUTNIK 4 DEB,SPUTNIK,64.9
41,SPUTNIK 4 DEB,282.6,338.6,-60.22503989,142.1654185,1 00041U 60005  H 60213.55741600  .00877296 +00000-0 +00000-0 0  9995,2 00041 064.8899 009.0399 0041880 060.9395 299.2735 15.87027825012009,SPUTNIK 4 DEB,SPUTNIK,64.9
42,SPUTNIK 4 DEB,251.3,420.1,43.58645088,-59.37503634,1 00042U 60005  J 60229.62556458  .00384003 +00000-0 +00000-0 0  9995,2 00042 064.8899 312.6938 0125675 047.5739 312.9645 15.78145464014500,SPUTNIK 4 DEB,SPUTNIK,64.9
44,MIDAS 2 DEB,228.2,228.2,12.92886177,125.8530721,1 00044U 60006  B 60339.48320007  .05617416 +00000-0 +00000-0 0  9995,2 00044 033.0000 103.1687 0000000 237.9085 122.0914 16.16822545029905,MIDAS 2 DEB,MIDAS,33.0
51,ECHO 1 DEB (METAL OBJ),"1,511.00","1,688.30",28.27989647,-90.3626391,1 00051U 60009C   25330.36379101  .00000025  00000-0  10548-2 0  9991,2 00051  47.2143 316.9688 0111120 312.9752  46.1762 12.18374727906446,ECHO 1 DEB (METAL OBJ),ECHO,47.2
53,ECHO 1 DEB (METAL OBJ),"1,526.10","1,681.70",-40.69543485,43.18190362,1 00053U 60009E   25330.48055315 -.00000027  00000-0  55975-3 0  9991,2 00053  47.2771 247.6229 0097467 197.1954 162.5522 12.17394792910737,ECHO 1 DEB (METAL OBJ),ECHO,47.3
69,JUNO II DEB,266.2,310.3,-43.89665442,19.61323644,1 00069U 60014  C 70043.96232070  .03036540 +00000-0 +00000-0 0  9990,2 00069 049.2657 017.1807 0033130 020.6026 339.6235 15.95021175456721,JUNO II DEB,JUNO,49.3
74,DELTA 1 DEB,237.7,250.3,,,1 00074U 60016  C 89127.00883376  .02098965 +49187-2 +22120-2 0  9995,2 00074 048.5374 350.7700 0009533 238.7285 120.9850 16.11032606545411,DELTA 1 DEB,DELTA,48.5
75,DELTA 1 DEB,208.8,225,,,1 00075U 60016  D 90023.65502152  .03695442 +15733-4 +16800-2 0  9998,2 00075 048.5003 110.5790 0012245 332.5609 027.6347 16.20974718995668,DELTA 1 DEB,DELTA,48.5
78,SL-6 DEB,197.9,304.6,46.31717494,79.25006143,1 00078U 61003  D 61043.08113194  .00392946 +00000-0 +00000-0 0  9999,2 00078 065.0109 186.4129 0080516 020.4596 339.7037 16.08399757000013,SL-6 DEB,SL-6,65.0
85,SCOUT X-1 DEB,383.3,447.2,,,1    85U 61004C   25126.91579424  .00547528  00000-0  83528-2 0  9990,2    85  38.6281 333.3586 0047038 226.2995 133.3890 15.50513241188530,SCOUT X-1 DEB,SCOUT,38.6
88,DISCOVERER 20 DEB,281.3,281.3,-75.65044538,24.55934374,1 00088U 61005  B 61090.88572693  .01415362 +00000-0 +00000-0 0  9994,2 00088 080.9099 107.9583 0000000 339.6631 020.3368 15.97538142006505,DISCOVERER 20 DEB,DISCOVERER,80.9
89,DISCOVERER 20 DEB,284,539.1,80.80000807,155.6247851,1 00089U 61005  C 61091.31996822  .00509837 +00000-0 +00000-0 0  9998,2 00089 080.9099 108.5267 0187904 341.2386 019.1045 15.51776004006506,DISCOVERER 20 DEB,DISCOVERER,80.9
90,DISCOVERER 20 DEB,321.2,326.7,-8.663051913,-136.8734381,1 00090U 61005  D 61295.45793529  .01555739 +00000-0 +00000-0 0  9993,2 00090 080.7118 219.4209 0004101 016.4298 343.5769 15.82295788037405,DISCOVERER 20 DEB,DISCOVERER,80.7
92,SPUTNIK 9 DEB,169.7,200.5,-15.22782579,-162.6135821,1 00092U 61008  B 61068.57164955  .00000000 +00000-0 +00000-0 0  9999,2 00092 064.9299 298.7499 0023484 024.4999 335.5567 16.32781345000057,SPUTNIK 9 DEB,SPUTNIK,64.9
93,SPUTNIK 9 DEB,172.5,172.5,-2.585307673,123.3385654,1 00093U 61008  C 61068.57068920  .00000000 +00000-0 +00000-0 0  9995,2 00093 064.9299 298.7499 0000000 117.5648 242.4351 16.37479598000058,SPUTNIK 9 DEB,SPUTNIK,64.9
97,SL-3 DEB,167,236.9,-27.50398836,-130.5906476,1 00097U 61009  C 61084.60967635  .00299049 +00000-0 +00000-0 0  9996,2 00097 065.0000 305.2646 0053086 041.8763 318.3297 16.26495110000060,SL-3 DEB,SL-3,65.0
99,THOR ABLESTAR DEB,220.9,227.2,,,1 00099U 60003  D 79186.84178960  .01646730 +24659-2 +98060-3 0  9992,2 00099 051.2611 217.5480 0004728 097.4296 263.3330 16.18346998058087,THOR ABLESTAR DEB,THOR,51.3
101,THOR ABLE DEB (YO),176.7,177.2,,,1 00101U 60002  C 83106.81622310  .09665547 +57417-4 +11294-2 0  9990,2 00101 048.4727 027.9990 0000398 270.9061 249.8269 16.35832332249187,THOR ABLE DEB (YO),THOR,48.5
